ROI,Model,Mouse ID,Tissue,Metastatic Potential
ROI1,H5097,633,Tumor,High
ROI2,H5097,633,Tumor,High
ROI3,H4272,664,Lung,Low
ROI4,H4272,664,Lung,Low
ROI5,HCI005,657,Tumor,Low
ROI6,HCI005,657,Tumor,Low
ROI7,HCI010,502,Tumor,High
ROI8,HCI010,502,Tumor,High
ROI9,H4272,664,Tumor,Low
ROI10,H4272,664,Tumor,Low
ROI11,H4272,664,Tumor,Low
ROI12,HCI005,657,Lung,Low
ROI13,HCI005,657,Lung,Low
ROI14,HCI005,657,Lung,Low
ROI15,H5097,633,Lung,High
ROI16,H5097,633,Lung,High
ROI17,H5097,633,Lung,High
ROI18,H5097,633,Lung,High
